seed,model_variant,threshold_min,group,n_clinical_R1,n_geo_realizations,n_unique_origins,fnr,C,J,J_ind,E,D,joint_event_count,constrained_event_count
46,reweighing,30.0,1,33,3300,3147,0.24242424242424243,0.15696969696969698,0.038181818181818185,0.038053259871441696,0.00012855831037648924,0.000971496298599106,126,518
46,reweighing,30.0,ALL,42,4200,3950,0.2619047619047619,0.15666666666666668,0.04119047619047619,0.04103174603174604,0.00015873015873014984,0.0012013888054591138,173,658
46,reweighing,45.0,0,9,900,887,0.3333333333333333,0.06222222222222222,0.023333333333333334,0.02074074074074074,0.0025925925925925943,0.04443127962085308,21,56
46,reweighing,45.0,1,33,3300,3147,0.24242424242424243,0.05606060606060606,0.011818181818181818,0.013590449954086318,-0.0017722681359045,-0.03349095483926942,39,185
46,reweighing,45.0,ALL,42,4200,3950,0.2619047619047619,0.05738095238095238,0.014285714285714285,0.015028344671201814,-0.0007426303854875284,-0.013729943539537492,60,241
46,reweighing,60.0,0,9,900,887,0.3333333333333333,0.027777777777777776,0.01,0.009259259259259259,0.0007407407407407415,0.027428571428571413,9,25
46,reweighing,60.0,1,33,3300,3147,0.24242424242424243,0.03090909090909091,0.006060606060606061,0.007493112947658403,-0.0014325068870523422,-0.04782400765184122,20,102
46,reweighing,60.0,ALL,42,4200,3950,0.2619047619047619,0.030238095238095238,0.006904761904761905,0.007919501133786849,-0.0010147392290249437,-0.034604684971707295,29,127
46,reweighing,90.0,0,9,900,887,0.3333333333333333,0.0077777777777777776,0.0022222222222222222,0.0025925925925925925,-0.0003703703703703703,-0.04799232122860342,2,7
46,reweighing,90.0,1,33,3300,3147,0.24242424242424243,0.00787878787878788,0.0015151515151515152,0.0019100091827364556,-0.00039485766758494043,-0.05051454348949766,5,26
46,reweighing,90.0,ALL,42,4200,3950,0.2619047619047619,0.007857142857142858,0.0016666666666666668,0.0020578231292517008,-0.000391156462585034,-0.05017780395750157,7,33
46,post_processing,30.0,0,9,900,887,0.2222222222222222,0.15555555555555556,0.03333333333333333,0.0345679012345679,-0.001234567901234565,-0.009398496240601517,30,140
46,post_processing,30.0,1,33,3300,3147,0.21212121212121213,0.15696969696969698,0.032424242424242425,0.03329660238751148,-0.0008723599632690579,-0.006592296311922485,107,518
46,post_processing,30.0,ALL,42,4200,3950,0.21428571428571427,0.15666666666666668,0.03261904761904762,0.03357142857142857,-0.0009523809523809545,-0.0072083328327546825,137,658
46,post_processing,45.0,0,9,900,887,0.2222222222222222,0.06222222222222222,0.013333333333333334,0.01382716049382716,-0.0004938271604938253,-0.0084631008801625,12,56
46,post_processing,45.0,1,33,3300,3147,0.21212121212121213,0.05606060606060606,0.009393939393939394,0.011891643709825529,-0.002497704315886135,-0.047199687649125854,31,185
46,post_processing,45.0,ALL,42,4200,3950,0.21428571428571427,0.05738095238095238,0.010238095238095239,0.012295918367346937,-0.002057823129251698,-0.038045568739329155,43,241
46,post_processing,60.0,0,9,900,887,0.2222222222222222,0.027777777777777776,0.005555555555555556,0.006172839506172839,-0.0006172839506172834,-0.022857142857142854,5,25
46,post_processing,60.0,1,33,3300,3147,0.21212121212121213,0.03090909090909091,0.005454545454545455,0.006556473829201102,-0.001101928374655647,-0.03678769819372402,18,102
46,post_processing,60.0,ALL,42,4200,3950,0.21428571428571427,0.030238095238095238,0.0054761904761904765,0.0064795918367346935,-0.001003401360544217,-0.03421804044688373,23,127
46,post_processing,90.0,0,9,900,887,0.2222222222222222,0.0077777777777777776,0.0011111111111111111,0.001728395061728395,-0.0006172839506172838,-0.07998720204767237,1,7
46,post_processing,90.0,1,33,3300,3147,0.21212121212121213,0.00787878787878788,0.0012121212121212121,0.0016712580348943987,-0.00045913682277318657,-0.05873784126685774,4,26
46,post_processing,90.0,ALL,42,4200,3950,0.21428571428571427,0.007857142857142858,0.0011904761904761906,0.0016836734693877551,-0.0004931972789115645,-0.0632676658594585,5,33
47,none,30.0,0,5,500,497,0.0,0.138,0.0,0.0,0.0,0.0,0,69
47,none,30.0,1,37,3700,3514,0.21621621621621623,0.14162162162162162,0.03135135135135135,0.030620891161431702,0.0007304601899196482,0.0060088065068164,116,524
47,none,30.0,ALL,42,4200,3962,0.19047619047619047,0.1411904761904762,0.02761904761904762,0.02689342403628118,0.0007256235827664409,0.005984241808250884,116,593
47,none,45.0,0,5,500,497,0.0,0.046,0.0,0.0,0.0,0.0,0,23
