model_variant,threshold_min,group,metric,mean,ci_low,ci_high,n_seeds
none,30.0,0,fnr,0.27805148555148557,0.22836805555555556,0.3272462606837607,30
none,30.0,0,C,0.1446630341880342,0.1399881102462352,0.1494288855820106,30
none,30.0,0,J,0.04118146113146113,0.033327953042328044,0.04950129629629628,30
none,30.0,0,J_ind,0.04074965094000195,0.032919613887217876,0.048933065824022966,30
none,30.0,0,E,0.0004318101914591499,-0.0010167490236835347,0.0019406617840904805,30
none,30.0,1,fnr,0.21265276450140866,0.18763776042496877,0.23808934187403477,30
none,30.0,1,C,0.1457810600783297,0.14365362556137168,0.14785863673315483,30
none,30.0,1,J,0.03062920451180429,0.026766156856662005,0.03421952689339047,30
none,30.0,1,J_ind,0.030920270686555052,0.027319245718894762,0.034840123869834476,30
none,30.0,1,E,-0.0002910661747507395,-0.0008570885164171009,0.00028179621516266184,30
none,30.0,ALL,fnr,0.22539682539682535,0.20555555555555544,0.246031746031746,30
none,30.0,ALL,C,0.14561111111111108,0.14388075396825395,0.14730178571428565,30
none,30.0,ALL,J,0.03273015873015868,0.02935674603174598,0.03607976190476185,30
none,30.0,ALL,J_ind,0.03279591836734689,0.029744912131519214,0.035697817460317416,30
none,30.0,ALL,E,-6.57596371882e-05,-0.0006818405139833471,0.0005016298185940911,30
none,45.0,0,fnr,0.27805148555148557,0.2275226139601139,0.3310615079365079,30
none,45.0,0,C,0.05260657305657304,0.04994522054334553,0.05535959656084654,30
none,45.0,0,J,0.01513071835571834,0.011964918091168087,0.01901479828042325,30
none,45.0,0,J_ind,0.01490011520465807,0.011898360898595944,0.01804515619226084,30
none,45.0,0,E,0.00023060315106026,-0.0009303309773572336,0.0015100075383904703,30
none,45.0,1,fnr,0.21265276450140866,0.18939387172852556,0.24011142439744174,30
none,45.0,1,C,0.052079404799231024,0.050586412889448755,0.05353853559246235,30
none,45.0,1,J,0.010926747705650329,0.009552962424879121,0.012127178928561798,30
none,45.0,1,J_ind,0.010976786285924365,0.009713140594571278,0.012110386959844741,30
none,45.0,1,E,-5.003858027403258e-05,-0.0005937073341705469,0.0005485146608840522,30
none,45.0,ALL,fnr,0.22539682539682535,0.20238095238095238,0.24603174603174596,30
none,45.0,ALL,C,0.05221428571428568,0.05075376984126979,0.05352400793650788,30
none,45.0,ALL,J,0.011793650793650742,0.010618253968253912,0.012999999999999937,30
none,45.0,ALL,J_ind,0.011753023431594808,0.010590844671201765,0.012761876417233513,30
none,45.0,ALL,E,4.062736205593163e-05,-0.0005134731670445839,0.0005681264172335401,30
none,60.0,0,fnr,0.27805148555148557,0.2301046245421245,0.3320965608465608,30
none,60.0,0,C,0.022301689051689038,0.020147726648351627,0.02436260505698004,30
none,60.0,0,J,0.006027380952380941,0.00442142857142856,0.007844639550264536,30
none,60.0,0,J_ind,0.0063135779854895996,0.004877590099202613,0.007633073628894073,30
none,60.0,0,E,-0.00028619703310866666,-0.0010693674724957937,0.0004893365013302017,30
none,60.0,1,fnr,0.21265276450140866,0.18601692559306718,0.24059282218676395,30
none,60.0,1,C,0.02225681292880566,0.021139997306036506,0.0233845725256263,30
none,60.0,1,J,0.00457829006462303,0.003938474564634828,0.005195988312728878,30
none,60.0,1,J_ind,0.0047279375919067005,0.004141639339393811,0.005235071779954146,30
none,60.0,1,E,-0.0001496475272836733,-0.0004754275828290935,0.00016272797147313752,30
none,60.0,ALL,fnr,0.22539682539682535,0.20317460317460315,0.24682539682539678,30
none,60.0,ALL,C,0.02226984126984122,0.021317261904761842,0.023349206349206293,30
none,60.0,ALL,J,0.004880952380952333,0.004253571428571389,0.005436706349206304,30
none,60.0,ALL,J_ind,0.00504251700680267,0.004473313492063444,0.00558424036281174,30
none,60.0,ALL,E,-0.00016156462585034063,-0.00048227513227511317,0.00012612433862432528,30
none,90.0,0,fnr,0.27805148555148557,0.2246976495726496,0.3304768518518518,30
none,90.0,0,C,0.003090964590964577,0.0022710869454619204,0.00392790242165241,30
none,90.0,0,J,0.0005679894179894135,0.00024537037037036655,0.0009402546296296229,30
none,90.0,0,J_ind,0.0008394489231882234,0.0005717439194685672,0.001133472636894245,30
none,90.0,0,E,-0.0002714595051988134,-0.0005713788952181306,6.0719308973319476e-05,30
none,90.0,1,fnr,0.21265276450140866,0.18782446398588004,0.23640672406915597,30
none,90.0,1,C,0.0036996012637819926,0.003264531171133309,0.004166132013644075,30
none,90.0,1,J,0.0008031793224016866,0.0006240712006573693,0.0009874181500401358,30
none,90.0,1,J_ind,0.0007915201927075931,0.0006558079165927619,0.0009322153359745873,30
none,90.0,1,E,1.1659129694087436e-05,-0.00012934886550900558,0.00015820217643651985,30
none,90.0,ALL,fnr,0.22539682539682535,0.20238095238095236,0.24605158730158724,30
none,90.0,ALL,C,0.0035793650793650234,0.00317460317460312,0.004079365079365024,30
none,90.0,ALL,J,0.00075396825396821,0.0006111111111110664,0.0009047619047618601,30
none,90.0,ALL,J_ind,0.0008106575963718367,0.0006857520786091701,0.0009478741496598283,30
none,90.0,ALL,E,-5.66893424036246e-05,-0.0001827664399092877,6.860827664397603e-05,30
post_processing,30.0,0,fnr,0.2020594220594221,0.15178273809523807,0.2483425925925926,30
post_processing,30.0,0,C,0.1446630341880342,0.13981726037851033,0.14936305072242576,30
post_processing,30.0,0,J,0.030279873829873818,0.02307218584656084,0.038052816442816426,30
post_processing,30.0,0,J_ind,0.029780023619938128,0.02265167114143485,0.03730490254157216,30
post_processing,30.0,0,E,0.0004998502099356866,-0.0012765004639319804,0.0025725492422039634,30
post_processing,30.0,1,fnr,0.273668226912662,0.23465391059478344,0.3150689770036062,30
post_processing,30.0,1,C,0.1457810600783297,0.14374202762208366,0.14770098720817715,30
post_processing,30.0,1,J,0.0400026692658091,0.03365042207933461,0.0460485285390148,30
post_processing,30.0,1,J_ind,0.03982933044621729,0.0339681975151826,0.045752180381013,30
post_processing,30.0,1,E,0.0001733388195918125,-0.0005450239676055799,0.0009366495600285776,30
post_processing,30.0,ALL,fnr,0.25714285714285706,0.22777777777777772,0.286547619047619,30
post_processing,30.0,ALL,C,0.14561111111111108,0.14399980158730158,0.14723829365079363,30
post_processing,30.0,ALL,J,0.03775396825396821,0.03330138888888884,0.04249305555555551,30
post_processing,30.0,ALL,J_ind,0.037377928949357465,0.03314443499622067,0.04181703514739225,30
post_processing,30.0,ALL,E,0.0003760393046107268,-0.00025620275888132,0.001076573129251686,30
post_processing,45.0,0,fnr,0.2020594220594221,0.15299926231176228,0.2509172262922263,30
post_processing,45.0,0,C,0.05260657305657304,0.04966359254171753,0.055252265211640186,30
post_processing,45.0,0,J,0.010367226292226282,0.007629916310541299,0.01344262235449734,30
post_processing,45.0,0,J_ind,0.010464026611813523,0.007902617293586718,0.013219604647984074,30
post_processing,45.0,0,E,-9.680031958724658e-05,-0.001111967127394918,0.0010554495897896112,30
post_processing,45.0,1,fnr,0.273668226912662,0.23329582958941503,0.31773863779416517,30
post_processing,45.0,1,C,0.052079404799231024,0.05053920326545412,0.0535728790761244,30
post_processing,45.0,1,J,0.014204695481341515,0.011936653936742278,0.016560139485240984,30
post_processing,45.0,1,J_ind,0.014174121267813958,0.012126319242573232,0.016378983588486842,30
post_processing,45.0,1,E,3.0574213527543624e-05,-0.0004927168114409203,0.0005697410102437498,30
post_processing,45.0,ALL,fnr,0.25714285714285706,0.22857142857142856,0.28809523809523807,30
post_processing,45.0,ALL,C,0.05221428571428568,0.05078571428571425,0.05353214285714283,30
post_processing,45.0,ALL,J,0.01337301587301583,0.011714285714285674,0.015015873015872967,30
post_processing,45.0,ALL,J_ind,0.013389644746787555,0.011740750188964423,0.014986470143612951,30
